Area,Bedrooms,Building_Age,Price
152,4,40,282
229,4,28,460
142,1,14,250
64,3,44,50
156,5,0,406
121,3,24,235
238,5,6,550
70,1,8,147
152,2,23,293
171,4,0,433
260,1,43,394
264,4,7,596
124,2,23,235
252,2,10,516
137,1,16,264
166,2,7,345
149,5,34,304
153,2,34,259
201,4,32,378
180,4,4,439
199,4,41,341
102,4,38,171
51,5,40,89
137,3,27,234
285,1,6,557
207,4,8,477
87,2,7,200
179,4,11,404
241,2,33,432
237,2,32,408
70,4,47,86
210,5,22,458
253,2,23,495
107,2,36,158
71,4,34,100
285,2,43,487
138,2,39,191
98,4,21,195
268,4,26,556
108,1,34,119
219,5,0,525
269,5,34,542
237,2,36,394
257,5,46,492
64,2,13,141
239,1,2,495
239,4,0,552
224,4,4,527
239,4,25,494
100,5,13,264
